Eliminated Party,Pref to,Number
ON,ALP,502
ON,ON,5521
GRN,LNP,7674
GRN,GRN,4333
GRN,ALP,2667
UAPP,ON,471
UAPP,ALP,311
UAPP,LNP,301
UAPP,GRN,1324
UAPP,UAPP,323
ON,ON,5279
ON,ALP,462
ON,LNP,1000
ON,GRN,937
GRN,ALP,3009
GRN,LNP,8240
GRN,GRN,4603
GRN,ALP,153
GRN,GRN,130
GRN,ON,842
GRN,IND,397
GRN,UAPP,407
GRN,LNP,83
IND,ALP,2420
IND,ON,436
IND,IND,809
IND,UAPP,202
IND,LNP,270
UAPP,ALP,1283
UAPP,ON,1592
UAPP,UAPP,1346
UAPP,LNP,730
ON,ALP,963
ON,ON,5857
ON,LNP,1401
AJP,UAPP,63
AJP,LNP,77
AJP,GRN,170
AJP,ALP,104
AJP,ON,66
AJP,LDP,46
AJP,IND,154
AJP,AJP,48
LDP,UAPP,230
LDP,LNP,150
LDP,GRN,626
LDP,ALP,236
LDP,ON,287
LDP,LDP,101
LDP,IND,862
IND,UAPP,712
IND,LNP,765
IND,GRN,174
IND,ALP,274
IND,ON,509
IND,IND,381
UAPP,UAPP,711
UAPP,LNP,534
UAPP,GRN,1045
UAPP,ALP,728
UAPP,ON,1352
GRN,LNP,2582
GRN,GRN,1226
GRN,ALP,791
GRN,ON,4602
ON,LNP,2490
ON,ALP,7852
ON,ON,2218
ON,ON,1547
ON,GRN,359
ON,ALP,201
ON,LNP,474
ALP,GRN,1538
ALP,ALP,618
ALP,LNP,2895
UAPP,ON,680
UAPP,GRN,159
UAPP,UAPP,262
UAPP,IND,133
UAPP,IND,120
UAPP,LNP,100
UAPP,ALP,85
GRN,ON,3116
GRN,GRN,275
GRN,IND,577
GRN,IND,370
GRN,LNP,574
GRN,ALP,272
IND,ON,682
IND,IND,1218
IND,IND,1364
IND,LNP,408
IND,ALP,2378
ON,ON,706
ON,IND,5660
ON,LNP,1174
ON,ALP,1246
ALP,IND,8178
ALP,LNP,4844
ALP,ALP,1343
IND,IMO,157
IND,ALP,51
IND,GRN,70
IND,LNP,79
IND,IND,85
IND,IND,49
IND,UAPP,79
IND,KAP,65
IND,AJP,17
IND,ON,97
AJP,IMO,87
AJP,ALP,61
AJP,GRN,28
AJP,LNP,106
AJP,IND,490
AJP,UAPP,44
AJP,KAP,79
AJP,AJP,33
AJP,ON,63
IMO,IMO,193
IMO,ALP,197
IMO,GRN,333
IMO,LNP,121
IMO,IND,214
IMO,UAPP,52
IMO,KAP,116
IMO,ON,183
UAPP,ALP,541
UAPP,GRN,272
UAPP,LNP,137
UAPP,IND,331
UAPP,UAPP,166
UAPP,KAP,355
UAPP,ON,293
IND,ALP,193
IND,GRN,112
IND,LNP,504
IND,IND,218
IND,KAP,869
IND,ON,828
ON,ALP,754
ON,GRN,1438
ON,LNP,664
ON,KAP,886
ON,ON,579
GRN,ALP,548
GRN,GRN,575
GRN,LNP,1144
GRN,KAP,4650
KAP,ALP,7335
KAP,LNP,1464
KAP,KAP,1625
UAPP,LNP,424
UAPP,UAPP,329
UAPP,ON,349
UAPP,ALP,2406
UAPP,IND,2054
ON,LNP,1261
ON,ON,4570
ON,ALP,699
ON,IND,1216
IND,LNP,5330
IND,ALP,2012
IND,IND,6414
UAPP,KAP,976
UAPP,LNP,374
UAPP,GRN,666
UAPP,ALP,332
UAPP,UAPP,633
GRN,KAP,3264
GRN,LNP,635
GRN,GRN,457
GRN,ALP,431
ALP,KAP,1715
ALP,LNP,915
ALP,ALP,4506
SOPA,SAL,23
SOPA,IMO,67
SOPA,LNP,48
SOPA,KAP,42
SOPA,SOPA,18
SOPA,AJP,20
SOPA,GRN,24
SOPA,UAPP,57
SOPA,ON,103
SOPA,ALP,64
AJP,SAL,117
AJP,IMO,120
AJP,LNP,53
AJP,KAP,76
AJP,AJP,212
AJP,GRN,211
AJP,UAPP,29
AJP,ON,34
AJP,ALP,96
IMO,SAL,122
IMO,IMO,283
IMO,LNP,112
IMO,KAP,137
IMO,GRN,493
IMO,UAPP,72
IMO,ON,126
IMO,ALP,140
UAPP,SAL,398
UAPP,LNP,140
UAPP,KAP,355
UAPP,GRN,222
UAPP,UAPP,238
UAPP,ON,689
UAPP,ALP,69
SAL,SAL,213
SAL,LNP,622
SAL,KAP,695
SAL,GRN,277
SAL,ON,1908
SAL,ALP,274
KAP,LNP,1257
KAP,KAP,761
KAP,GRN,1456
KAP,ON,312
KAP,ALP,816
GRN,LNP,2094
GRN,GRN,1011
GRN,ON,2996
GRN,ALP,1131
ON,LNP,1891
ON,ON,1877
ON,ALP,9069
LDP,UAPP,370
LDP,GRN,271
LDP,LNP,132
LDP,LDP,168
LDP,ALP,132
LDP,ON,305
UAPP,UAPP,412
UAPP,GRN,283
UAPP,LNP,922
UAPP,ALP,463
UAPP,ON,500
ON,GRN,819
ON,LNP,600
ON,ALP,332
ON,ON,2351
GRN,GRN,1712
GRN,LNP,4004
GRN,ALP,1467
AJP,ALP,208
AJP,UAPP,326
AJP,HMP,127
AJP,GRN,88
AJP,ON,447
AJP,AJP,169
AJP,LNP,646
UAPP,ALP,263
UAPP,UAPP,113
UAPP,HMP,640
UAPP,GRN,553
UAPP,ON,325
UAPP,LNP,335
HMP,ALP,686
HMP,HMP,1033
HMP,GRN,374
HMP,ON,3635
HMP,LNP,660
GRN,ALP,1653
GRN,GRN,2677
GRN,ON,2490
GRN,LNP,1005
ON,ALP,7326
ON,ON,2450
ON,LNP,1730
ASP,LNP,94
ASP,ASP,223
ASP,ALP,75
ASP,UAPP,136
ASP,GRN,105
ASP,ON,364
GRN,LNP,990
GRN,ALP,557
GRN,UAPP,679
GRN,GRN,328
GRN,ON,1364
UAPP,LNP,747
UAPP,ALP,3078
UAPP,UAPP,448
UAPP,ON,693
ON,LNP,1568
ON,ALP,816
ON,ON,5081
LDP,LNP,54
LDP,ON,140
LDP,GRN,111
LDP,AUVA,178
LDP,UAPP,48
LDP,LDP,37
LDP,ALP,26
AUVA,LNP,683
AUVA,ON,316
AUVA,GRN,188
AUVA,AUVA,207
AUVA,UAPP,432
AUVA,ALP,274
UAPP,LNP,387
UAPP,ON,921
UAPP,GRN,523
UAPP,UAPP,610
UAPP,ALP,254
ON,LNP,1003
ON,ON,5137
ON,GRN,916
ON,ALP,524
GRN,LNP,7500
GRN,GRN,3888
GRN,ALP,2139
IMO,LNP,97
IMO,ON,150
IMO,AJP,97
IMO,GRN,76
IMO,ALP,49
IMO,LDP,51
IMO,IMO,80
IMO,UAPP,45
AJP,LNP,63
AJP,ON,249
AJP,AJP,240
AJP,GRN,123
AJP,ALP,63
AJP,LDP,117
AJP,UAPP,222
LDP,LNP,300
LDP,ON,422
LDP,GRN,1247
LDP,ALP,336
LDP,LDP,132
LDP,UAPP,284
UAPP,LNP,1426
UAPP,ON,847
UAPP,GRN,352
UAPP,ALP,412
UAPP,UAPP,1568
ON,LNP,986
ON,ON,5063
ON,GRN,794
ON,ALP,758
GRN,LNP,7380
GRN,GRN,3384
GRN,ALP,2948
UAPP,ON,614
UAPP,ALP,259
UAPP,GRN,201
UAPP,LNP,180
UAPP,UAPP,214
ON,ON,1835
ON,ALP,355
ON,GRN,448
ON,LNP,640
GRN,ALP,1314
GRN,GRN,1390
GRN,LNP,3109
ON,GRN,1118
ON,LNP,804
ON,ON,2485
ON,ALP,672
GRN,GRN,1989
GRN,LNP,4243
GRN,ALP,1821
AJP,UAPP,421
AJP,GRN,263
AJP,ON,422
AJP,ALP,296
AJP,LNP,683
AJP,AJP,104
ON,UAPP,331
ON,GRN,939
ON,ON,372
ON,ALP,393
ON,LNP,400
UAPP,UAPP,3748
UAPP,GRN,814
UAPP,ALP,704
UAPP,LNP,1141
GRN,GRN,3507
GRN,ALP,1702
GRN,LNP,5205
UAPP,LNP,266
UAPP,GRN,827
UAPP,UAPP,285
UAPP,ON,422
UAPP,ALP,484
ON,LNP,753
ON,GRN,800
ON,ON,3167
ON,ALP,629
GRN,LNP,5065
GRN,GRN,3290
GRN,ALP,2240
AUP,UAPP,39
AUP,LDP,52
AUP,AUP,43
AUP,ON,65
AUP,AJP,44
AUP,GRN,25
AUP,ALP,28
AUP,LNP,57
AJP,UAPP,40
AJP,LDP,67
AJP,ON,32
AJP,AJP,129
AJP,GRN,255
AJP,ALP,83
AJP,LNP,43
UAPP,UAPP,111
UAPP,LDP,109
UAPP,ON,124
UAPP,GRN,621
UAPP,ALP,180
UAPP,LNP,116
ON,LDP,656
ON,ON,937
ON,GRN,224
ON,ALP,148
ON,LNP,287
LDP,LDP,1787
LDP,GRN,537
LDP,ALP,263
LDP,LNP,808
ALP,GRN,1372
ALP,ALP,753
ALP,LNP,3128
AUVA,IND,76
AUVA,ON,89
AUVA,UAPP,44
AUVA,GRN,33
AUVA,LNP,50
AUVA,IND,65
AUVA,ALP,32
AUVA,AUVA,54
AUVA,IMO,58
IMO,IND,123
IMO,ON,180
IMO,UAPP,62
IMO,GRN,90
IMO,LNP,161
IMO,IND,147
IMO,ALP,145
IMO,IMO,203
IND,IND,584
IND,ON,610
IND,UAPP,252
IND,GRN,166
IND,LNP,100
IND,IND,429
IND,ALP,217
UAPP,IND,1700
UAPP,ON,364
UAPP,UAPP,215
UAPP,GRN,333
UAPP,LNP,326
UAPP,ALP,440
IND,IND,795
IND,ON,3109
IND,GRN,303
IND,LNP,538
IND,ALP,234
GRN,ON,4071
GRN,GRN,1650
GRN,LNP,813
GRN,ALP,850
ON,ON,1919
ON,LNP,1731
ON,ALP,8013
UAPP,LNP,194
UAPP,UAPP,357
UAPP,ON,601
UAPP,ALP,208
UAPP,GRN,272
GRN,LNP,1428
GRN,ON,6258
GRN,ALP,638
GRN,GRN,736
ON,LNP,1982
ON,ON,2123
ON,ALP,9010
SOPA,LP,83
SOPA,ALP,64
SOPA,UAPP,215
SOPA,SOPA,125
SOPA,GRN,74
SOPA,ON,309
UAPP,LP,150
UAPP,ALP,320
UAPP,UAPP,204
UAPP,GRN,943
UAPP,ON,139
ON,LP,569
ON,ALP,507
ON,GRN,527
ON,ON,1871
GRN,LP,2653
GRN,ALP,1142
GRN,GRN,1900
IND,NP,71
IND,ON,122
IND,IND,61
IND,IND,100
IND,GRN,50
IND,LP,67
IND,UAPP,139
IND,ALP,150
NP,NP,109
NP,ON,217
NP,IND,1274
NP,GRN,105
NP,LP,123
NP,UAPP,66
NP,ALP,80
UAPP,ON,986
UAPP,IND,254
UAPP,GRN,188
UAPP,LP,935
UAPP,UAPP,200
UAPP,ALP,148
IND,ON,1803
IND,IND,1238
IND,GRN,338
IND,LP,781
IND,ALP,467
GRN,ON,3123
GRN,GRN,1247
GRN,LP,870
GRN,ALP,816
ON,ON,1819
ON,LP,1897
ON,ALP,6053
IND,GRN,41
IND,UAPP,122
IND,LDP,108
IND,IND,58
IND,AJP,17
IND,LP,51
IND,IND,22
IND,ALP,20
IND,ON,104
AJP,GRN,94
AJP,UAPP,116
AJP,LDP,231
AJP,AJP,69
AJP,LP,85
AJP,IND,313
AJP,ALP,42
AJP,ON,156
LDP,GRN,586
LDP,UAPP,76
LDP,LDP,52
LDP,LP,148
LDP,IND,245
LDP,ALP,247
LDP,ON,90
ON,GRN,198
ON,UAPP,312
ON,LP,533
ON,IND,135
ON,ALP,81
ON,ON,382
UAPP,GRN,181
UAPP,UAPP,1671
UAPP,LP,417
UAPP,IND,539
UAPP,ALP,244
IND,GRN,736
IND,LP,1735
IND,IND,1943
IND,ALP,403
GRN,GRN,5448
GRN,LP,2173
GRN,ALP,3017
IND,GRN,57
IND,UAPP,119
IND,LDP,91
IND,IND,75
IND,ALP,52
IND,ON,164
IND,IND,95
IND,LP,68
LDP,GRN,148
LDP,UAPP,74
LDP,LDP,42
LDP,IND,605
LDP,ALP,143
LDP,ON,183
LDP,LP,232
UAPP,GRN,185
UAPP,UAPP,271
UAPP,IND,179
UAPP,ALP,185
UAPP,ON,281
UAPP,LP,459
GRN,GRN,739
GRN,IND,1032
GRN,ALP,538
GRN,ON,3115
GRN,LP,821
ON,IND,3495
ON,ALP,3039
ON,ON,651
ON,LP,938
IND,IND,5575
IND,ALP,1790
IND,LP,3481
GAP,GRN,67
GAP,LP,63
GAP,ON,106
GAP,ALP,67
GAP,UAPP,146
GAP,GAP,158
GAP,AJP,46
AJP,GRN,83
AJP,LP,83
AJP,ON,416
AJP,ALP,113
AJP,UAPP,439
AJP,AJP,208
UAPP,GRN,1100
UAPP,LP,248
UAPP,ON,264
UAPP,ALP,445
UAPP,UAPP,537
ON,GRN,710
ON,LP,625
ON,ON,2840
ON,ALP,843
GRN,GRN,2308
GRN,LP,3718
GRN,ALP,1941
IND,IND,206
IND,ON,379
IND,UAPP,240
IND,ALP,67
IND,GRN,104
IND,LP,83
UAPP,ON,1039
UAPP,UAPP,538
UAPP,ALP,572
UAPP,GRN,629
UAPP,LP,391
ON,ON,3216
ON,ALP,691
ON,GRN,634
ON,LP,558
GRN,ALP,2862
GRN,GRN,2688
GRN,LP,4397
UAPP,ALP,559
UAPP,UAPP,441
UAPP,ON,480
UAPP,LP,266
UAPP,GRN,161
ON,ALP,943
ON,ON,2892
ON,LP,638
ON,GRN,606
GRN,ALP,2187
GRN,LP,4151
GRN,GRN,2131
LDP,ALP,33
LDP,AJP,72
LDP,LDP,236
LDP,XEN,85
LDP,GRN,37
LDP,LP,81
LDP,UAPP,276
LDP,ON,510
AJP,ALP,139
AJP,AJP,114
AJP,XEN,228
AJP,GRN,114
AJP,LP,449
AJP,UAPP,262
AJP,ON,354
UAPP,ALP,332
UAPP,XEN,457
UAPP,GRN,825
UAPP,LP,163
UAPP,UAPP,152
UAPP,ON,186
ON,ALP,277
ON,XEN,525
ON,GRN,337
ON,LP,475
ON,ON,3165
GRN,ALP,738
GRN,XEN,3757
GRN,GRN,1027
GRN,LP,3468
ALP,ALP,7350
ALP,XEN,7246
ALP,LP,1449
UAPP,UAPP,383
UAPP,ALP,233
UAPP,GRN,320
UAPP,LP,193
UAPP,ON,607
GRN,ALP,2057
GRN,GRN,1255
GRN,LP,876
GRN,ON,3353
ON,ALP,9216
ON,LP,1943
ON,ON,2468
AUP,GRN,60
AUP,ALP,48
AUP,ON,24
AUP,AUP,46
AUP,UAPP,10
AUP,CYA,9
AUP,AJP,19
AUP,LDP,7
AUP,DPDA,15
AUP,LP,13
CYA,GRN,155
CYA,ALP,65
CYA,ON,41
CYA,UAPP,56
CYA,CYA,35
CYA,AJP,67
CYA,LDP,13
CYA,DPDA,37
CYA,LP,34
DPDA,GRN,38
DPDA,ALP,39
DPDA,ON,220
DPDA,UAPP,153
DPDA,AJP,51
DPDA,LDP,166
DPDA,DPDA,65
DPDA,LP,67
LDP,GRN,310
LDP,ALP,226
LDP,ON,67
LDP,UAPP,73
LDP,AJP,107
LDP,LDP,104
LDP,LP,237
AJP,GRN,144
AJP,ALP,115
AJP,ON,291
AJP,UAPP,243
AJP,AJP,131
AJP,LP,513
ON,GRN,847
ON,ALP,327
ON,ON,202
ON,UAPP,273
ON,LP,257
UAPP,GRN,388
UAPP,ALP,302
UAPP,UAPP,2501
UAPP,LP,547
GRN,GRN,1734
GRN,ALP,1337
GRN,LP,3246
AJP,IND,50
AJP,JLN,62
AJP,GRN,15
AJP,LP,238
AJP,AJP,34
AJP,UAPP,125
AJP,ON,150
AJP,ALP,58
UAPP,IND,157
UAPP,JLN,137
UAPP,GRN,267
UAPP,LP,118
UAPP,UAPP,70
UAPP,ON,103
UAPP,ALP,151
IND,IND,180
IND,JLN,205
IND,GRN,53
IND,LP,151
IND,ON,641
IND,ALP,105
ON,JLN,1125
ON,GRN,750
ON,LP,800
ON,ON,438
ON,ALP,724
JLN,JLN,1988
JLN,GRN,413
JLN,LP,1212
JLN,ALP,949
GRN,GRN,2478
GRN,LP,2845
GRN,ALP,2781
TLOC,ON,33
TLOC,GRN,137
TLOC,LP,25
TLOC,TLOC,39
TLOC,ALP,55
TLOC,UAPP,18
TLOC,IND,107
TLOC,JLN,140
TLOC,LDP,12
LDP,ON,41
LDP,GRN,125
LDP,LP,102
LDP,ALP,156
LDP,UAPP,46
LDP,IND,184
LDP,JLN,86
LDP,LDP,18
UAPP,ON,196
UAPP,GRN,22
UAPP,LP,280
UAPP,ALP,42
UAPP,UAPP,144
UAPP,IND,93
UAPP,JLN,224
ON,ON,488
ON,GRN,44
ON,LP,190
ON,ALP,85
ON,IND,218
ON,JLN,183
GRN,GRN,546
GRN,LP,886
GRN,ALP,247
GRN,IND,1424
GRN,JLN,720
IND,LP,889
IND,ALP,2487
IND,IND,1320
IND,JLN,923
JLN,LP,1960
JLN,ALP,2607
JLN,JLN,4317
AJP,ON,116
AJP,ALP,91
AJP,LP,277
AJP,GRN,33
AJP,IND,98
AJP,AJP,20
AJP,UAPP,104
UAPP,ON,80
UAPP,ALP,102
UAPP,LP,52
UAPP,GRN,229
UAPP,IND,271
UAPP,UAPP,114
ON,ON,490
ON,ALP,109
ON,LP,116
ON,GRN,111
ON,IND,333
GRN,ALP,635
GRN,LP,525
GRN,GRN,209
GRN,IND,1032
LP,ALP,2977
LP,LP,364
LP,IND,6102
UAPP,TLOC,169
UAPP,ALP,117
UAPP,LDP,23
UAPP,ON,39
UAPP,UAPP,53
UAPP,JLN,156
UAPP,LP,129
UAPP,GRN,411
LDP,TLOC,142
LDP,ALP,120
LDP,LDP,188
LDP,ON,515
LDP,JLN,223
LDP,LP,178
LDP,GRN,67
ON,TLOC,236
ON,ALP,232
ON,ON,369
ON,JLN,174
ON,LP,592
ON,GRN,42
TLOC,TLOC,934
TLOC,ALP,289
TLOC,JLN,904
TLOC,LP,682
TLOC,GRN,147
JLN,ALP,1449
JLN,JLN,1448
JLN,LP,583
JLN,GRN,1536
GRN,ALP,2659
GRN,LP,2464
GRN,GRN,1997
AJP,LP,534
AJP,ALP,109
AJP,AJP,69
AJP,UAPP,173
AJP,JLN,81
AJP,ON,195
AJP,GRN,27
UAPP,LP,162
UAPP,ALP,227
UAPP,UAPP,192
UAPP,JLN,293
UAPP,ON,133
UAPP,GRN,374
ON,LP,325
ON,ALP,281
ON,JLN,639
ON,ON,963
ON,GRN,133
GRN,LP,1331
GRN,ALP,692
GRN,JLN,2630
GRN,GRN,565
JLN,LP,804
JLN,ALP,5434
JLN,JLN,3243
LDP,UAPP,91
LDP,LP,122
LDP,GVIC,366
LDP,ON,103
LDP,LDP,133
LDP,ALP,158
ON,UAPP,674
ON,LP,513
ON,GVIC,198
ON,ON,589
ON,ALP,270
UAPP,UAPP,2429
UAPP,LP,503
UAPP,GVIC,407
UAPP,ALP,375
GVIC,LP,5305
GVIC,GVIC,2217
GVIC,ALP,1662
IND,GVIC,50
IND,LP,49
IND,IND,158
IND,UAPP,113
IND,ON,131
IND,LDP,131
IND,ALP,50
LDP,GVIC,543
LDP,LP,265
LDP,UAPP,369
LDP,ON,354
LDP,LDP,291
LDP,ALP,380
ON,GVIC,229
ON,LP,841
ON,UAPP,1320
ON,ON,755
ON,ALP,493
UAPP,GVIC,348
UAPP,LP,654
UAPP,UAPP,2948
UAPP,ALP,766
GVIC,GVIC,1567
GVIC,LP,4406
GVIC,ALP,2470
IND,IND,272
IND,ALP,174
IND,LP,600
IND,GVIC,146
IND,ON,544
IND,UAPP,1152
UAPP,ALP,1302
UAPP,LP,663
UAPP,GVIC,626
UAPP,ON,1407
UAPP,UAPP,593
ON,ALP,480
ON,LP,491
ON,GVIC,356
ON,ON,3997
GVIC,ALP,2778
GVIC,LP,6527
GVIC,GVIC,2151
LDP,LDP,956
LDP,UAPP,2193
LDP,ALP,536
LDP,LP,477
LDP,GVIC,382
GVIC,UAPP,3313
GVIC,ALP,589
GVIC,LP,1564
GVIC,GVIC,311
UAPP,UAPP,1427
UAPP,ALP,6924
UAPP,LP,1615
VNS,ON,336
VNS,LP,128
VNS,GVIC,136
VNS,ALP,162
VNS,UAPP,373
VNS,VNS,377
ON,ON,323
ON,LP,292
ON,GVIC,1542
ON,ALP,821
ON,UAPP,832
GVIC,LP,2022
GVIC,GVIC,860
GVIC,ALP,790
GVIC,UAPP,2944
UAPP,LP,1812
UAPP,ALP,7124
UAPP,UAPP,1879
DHJP,GVIC,15
DHJP,IND,69
DHJP,AJP,18
DHJP,LP,61
DHJP,ALP,27
DHJP,ON,147
DHJP,LDP,136
DHJP,DHJP,19
DHJP,UAPP,155
DHJP,IND,39
AJP,GVIC,91
AJP,IND,109
AJP,AJP,158
AJP,LP,168
AJP,ALP,145
AJP,ON,206
AJP,LDP,53
AJP,UAPP,128
AJP,IND,168
LDP,GVIC,701
LDP,IND,229
LDP,LP,197
LDP,ALP,318
LDP,ON,179
LDP,LDP,48
LDP,UAPP,102
LDP,IND,246
IND,GVIC,99
IND,IND,191
IND,LP,470
IND,ALP,114
IND,ON,598
IND,UAPP,641
IND,IND,132
ON,GVIC,406
ON,LP,377
ON,ALP,263
ON,ON,779
ON,UAPP,1217
ON,IND,1011
UAPP,GVIC,281
UAPP,LP,680
UAPP,ALP,403
UAPP,UAPP,3145
UAPP,IND,660
IND,GVIC,596
IND,LP,4551
IND,ALP,678
IND,IND,4397
GVIC,GVIC,8014
GVIC,LP,3380
GVIC,ALP,3566
CYA,LP,25
CYA,DHJP,22
CYA,CYA,19
CYA,ON,28
CYA,AJP,51
CYA,LDP,33
CYA,GVIC,49
CYA,UAPP,24
CYA,IND,26
CYA,IND,48
CYA,ALP,59
IND,LP,74
IND,DHJP,49
IND,ON,72
IND,AJP,38
IND,LDP,107
IND,GVIC,51
IND,UAPP,40
IND,IND,106
IND,IND,13
IND,ALP,36
DHJP,LP,98
DHJP,DHJP,30
DHJP,ON,12
DHJP,AJP,26
DHJP,LDP,18
DHJP,GVIC,122
DHJP,UAPP,27
DHJP,IND,332
DHJP,ALP,153
AJP,LP,208
AJP,ON,208
AJP,AJP,133
AJP,LDP,91
AJP,GVIC,98
AJP,UAPP,59
AJP,IND,100
AJP,ALP,150
ON,LP,129
ON,ON,123
ON,LDP,97
ON,GVIC,558
ON,UAPP,68
ON,IND,154
ON,ALP,241
LDP,LP,255
LDP,LDP,509
LDP,GVIC,169
LDP,UAPP,590
LDP,IND,196
LDP,ALP,101
IND,LP,547
IND,GVIC,314
IND,UAPP,998
IND,IND,464
IND,ALP,152
UAPP,LP,441
UAPP,GVIC,699
UAPP,UAPP,1276
UAPP,ALP,552
GVIC,LP,2845
GVIC,GVIC,1511
GVIC,ALP,1021
AJP,AJP,252
AJP,VNS,289
AJP,GVIC,604
AJP,LP,104
AJP,UAPP,66
AJP,ON,41
AJP,ALP,229
ON,VNS,803
ON,GVIC,778
ON,LP,191
ON,UAPP,180
ON,ON,126
ON,ALP,381
VNS,VNS,225
VNS,GVIC,129
VNS,LP,311
VNS,UAPP,2017
VNS,ALP,292
UAPP,GVIC,3503
UAPP,LP,150
UAPP,UAPP,369
UAPP,ALP,545
LP,GVIC,1731
LP,LP,3351
LP,ALP,1720
DHJP,GVIC,305
DHJP,ALP,98
DHJP,AJP,63
DHJP,LP,58
DHJP,LDP,106
DHJP,ON,112
DHJP,UAPP,80
DHJP,DHJP,46
AJP,GVIC,191
AJP,ALP,210
AJP,AJP,266
AJP,LP,177
AJP,LDP,77
AJP,ON,285
AJP,UAPP,261
LDP,GVIC,950
LDP,ALP,639
LDP,LP,180
LDP,LDP,156
LDP,ON,231
LDP,UAPP,159
ON,GVIC,188
ON,ALP,218
ON,LP,589
ON,ON,858
ON,UAPP,1012
UAPP,GVIC,363
UAPP,ALP,437
UAPP,LP,497
UAPP,UAPP,2737
GVIC,GVIC,1872
GVIC,ALP,1503
GVIC,LP,4107
AJP,SAL,206
AJP,LP,112
AJP,GVIC,141
AJP,ON,148
AJP,AJP,98
AJP,LDP,201
AJP,UAPP,93
AJP,ALP,81
SAL,SAL,345
SAL,LP,179
SAL,GVIC,899
SAL,ON,244
SAL,LDP,123
SAL,UAPP,231
SAL,ALP,427
LDP,LP,785
LDP,GVIC,1362
LDP,ON,208
LDP,LDP,121
LDP,UAPP,142
LDP,ALP,377
ON,LP,903
ON,GVIC,246
ON,ON,851
ON,UAPP,1487
ON,ALP,341
UAPP,LP,727
UAPP,GVIC,608
UAPP,UAPP,3245
UAPP,ALP,659
GVIC,LP,5501
GVIC,GVIC,2244
GVIC,ALP,2234
DHJP,ALP,83
DHJP,GVIC,54
DHJP,IND,44
DHJP,AJP,49
DHJP,LDP,229
DHJP,LP,115
DHJP,DHJP,59
DHJP,UAPP,133
DHJP,ON,143
IND,ALP,148
IND,GVIC,97
IND,IND,116
IND,AJP,176
IND,LDP,86
IND,LP,230
IND,UAPP,113
IND,ON,173
AJP,ALP,299
AJP,GVIC,353
AJP,AJP,248
AJP,LDP,99
AJP,LP,209
AJP,UAPP,114
AJP,ON,109
LDP,ALP,427
LDP,GVIC,925
LDP,LDP,142
LDP,LP,203
LDP,UAPP,205
LDP,ON,221
ON,ALP,228
ON,GVIC,221
ON,LP,633
ON,UAPP,529
ON,ON,788
UAPP,ALP,257
UAPP,GVIC,259
UAPP,LP,451
UAPP,UAPP,2773
GVIC,ALP,872
GVIC,GVIC,1578
GVIC,LP,4253
AJP,IND,129
AJP,ALP,37
AJP,LDP,70
AJP,AJP,56
AJP,GVIC,49
AJP,LP,55
AJP,ON,74
AJP,UAPP,96
LDP,IND,308
LDP,ALP,437
LDP,LDP,75
LDP,GVIC,798
LDP,LP,163
LDP,ON,175
LDP,UAPP,113
ON,IND,326
ON,ALP,248
ON,GVIC,155
ON,LP,614
ON,ON,614
ON,UAPP,586
IND,IND,657
IND,ALP,272
IND,GVIC,193
IND,LP,407
IND,UAPP,2023
UAPP,ALP,1284
UAPP,GVIC,843
UAPP,LP,499
UAPP,UAPP,2492
GVIC,ALP,1763
GVIC,GVIC,2397
GVIC,LP,5996
AJP,UAPP,72
AJP,ON,110
AJP,LDP,96
AJP,LP,44
AJP,GVIC,39
AJP,IND,56
AJP,ALP,28
AJP,IND,30
AJP,AJP,11
LDP,UAPP,111
LDP,ON,161
LDP,LDP,26
LDP,LP,159
LDP,GVIC,595
LDP,IND,218
LDP,ALP,353
