Name,Formed,State / Territory,Size (km2),Namesake,Known for,Current Member,Member's Party,Classification
Adelaide,1903,South Australia,76,City of Adelaide,Geographic location,Steve Georganas,Labor,Inner-metropolitan
Aston,1984,Victoria,113,Tilly Aston,Teacher,Mary Doyle,Labor,Outer-metropolitan
Ballarat,1901,Victoria,4322,City of Ballarat,Geographic location,Catherine King,Labor,Provincial
Banks,1949,New South Wales,53,Joseph Banks,Botanist,David Coleman,Liberal,Inner-metropolitan
Barker,1903,South Australia,63886,Collet Barker,Explorer,Tony Pasin,Liberal,Rural
Barton,1922,New South Wales,40,Edmund Barton,Prime Minister,Linda Burney,Labor,Inner-metropolitan
Bass,1903,Tasmania,7975,George Bass,Explorer,Bridget Archer,Liberal,Provincial
Bean,2019,"Australian Capital Territory
Norfolk Island",1913,Charles Bean,"War correspondent, historian",David Smith,Labor,Outer-metropolitan
Bendigo,1901,Victoria,5496,City of Bendigo,Geographic location,Lisa Chesters,Labor,Provincial
Bennelong,1949,New South Wales,60,Bennelong,Aboriginal elder,Jerome Laxale,Labor,Inner-metropolitan
Berowra,1969,New South Wales,786,Suburb of Berowra,Geographic location,Julian Leeser,Liberal,Outer-metropolitan
Blair,1998,Queensland,6472,Harold Blair,Aboriginal singer,Shayne Neumann,Labor,Provincial
Blaxland,1949,New South Wales,61,Gregory Blaxland,Explorer,Jason Clare,Labor,Inner-metropolitan
Bonner,2004,Queensland,374,Neville Bonner,Aboriginal politician,Ross Vasta,Liberal National,Outer-metropolitan
Boothby,1903,South Australia,130,William Boothby,Electoral commissioner,Louise Miller-Frost,Labor,Outer-metropolitan
Bowman,1949,Queensland,536,David Bowman,Politician,Henry Pike,Liberal National,Outer-metropolitan
Braddon,1955,Tasmania,21369,Edward Braddon,Premier of Tasmania,Gavin Pearce,Liberal,Rural
Bradfield,1949,New South Wales,101,John Bradfield,Designer of the Sydney Harbour Bridge,Paul Fletcher,Liberal,Inner-metropolitan
Brand,1984,Western Australia,377,David Brand,Premier of Western Australia,Madeleine King,Labor,Outer-metropolitan
Brisbane,1901,Queensland,57,City of Brisbane,Geographic location,Stephen Bates,Greens,Inner-metropolitan
Bruce,1955,Victoria,95,Stanley Bruce,Prime Minister,Julian Hill,Labor,Outer-metropolitan
Burt,2016,Western Australia,172,"Archibald, Septimus and Francis Burt",Family of lawyers,Matt Keogh,Labor,Outer-metropolitan
Calare,1906,New South Wales,32666,Aboriginal name for the Lachlan River,Geographic location,Andrew Gee,Independent,Rural
Calwell,1984,Victoria,265,Arthur Calwell,Leader of the opposition,Maria Vamvakinou,Labor,Outer-metropolitan
Canberra,1974,Australian Capital Territory,312,City of Canberra,Geographic location,Alicia Payne,Labor,Inner-metropolitan
Canning,1949,Western Australia,6304,Alfred Canning,Surveyor of the Rabbit-Proof Fence,Andrew Hastie,Liberal,Outer-metropolitan
Capricornia,1901,Queensland,90903,Tropic of Capricorn,Geographic location,Michelle Landry,Liberal National,Provincial
Casey,1969,Victoria,2466,Richard Casey,Governor-General,Aaron Violi,Liberal,Rural
Chifley,1969,New South Wales,126,Ben Chifley,Prime Minister,Ed Husic,Labor,Outer-metropolitan
Chisholm,1949,Victoria,65,Caroline Chisholm,Philanthropist,Carina Garland,Labor,Inner-metropolitan
Clark,2019,Tasmania,292,Andrew Inglis Clark,Co-author of the Australian Constitution,Andrew Wilkie,Independent,Inner-metropolitan
Cook,1969,New South Wales,94,James Cook,Explorer,Simon Kennedy,Liberal,Inner-metropolitan
Cooper,2019,Victoria,60,William Cooper,Aboriginal activist,Ged Kearney,Labor,Inner-metropolitan
Corangamite,1901,Victoria,5441,Lake Corangamite,Geographic location,Libby Coker,Labor,Provincial
Corio,1901,Victoria,773,Corio Bay,Geographic location,Richard Marles,Labor,Provincial
Cowan,1984,Western Australia,180,Edith Cowan,"Politician, activist",Anne Aly,Labor,Inner-metropolitan
Cowper,1901,New South Wales,7296,Charles Cowper,Premier of New South Wales,Pat Conaghan,Nationals,Provincial
Cunningham,1949,New South Wales,519,Allan Cunningham,"Botanist, explorer",Alison Byrnes,Labor,Provincial
Curtin,1949,Western Australia,98,John Curtin,Prime Minister,Kate Chaney,Independent,Inner-metropolitan
Dawson,1949,Queensland,14630,Anderson Dawson,Premier of Queensland,Andrew Willcox,Liberal National,Provincial
Deakin,1937,Victoria,79,Alfred Deakin,Prime Minister,Michael Sukkar,Liberal,Outer-metropolitan
Dickson,1992,Queensland,724,James Dickson,Premier of Queensland,Peter Dutton,Liberal National,Outer-metropolitan
Dobell,1984,New South Wales,787,William Dobell,Painter,Emma McBride,Labor,Provincial
Dunkley,1984,Victoria,152,Louisa Margaret Dunkley,"Labour unionist, women's rights campaigner",Jodie Belyea,Labor,Outer-metropolitan
Durack,2010,Western Australia,1383954,"Patrick, W J, Michael, Mary, Elizabeth, Kimberley and Peter Durack",Pioneers and developers of the Kimberley region,Melissa Price,Liberal,Rural
Eden-Monaro,1901,New South Wales,41617,Town of Eden and region of Monaro,Geographic location,Kristy McBain,Labor,Rural
Fadden,1977,Queensland,387,Arthur Fadden,Prime Minister,Cameron Caldwell,Liberal National,Provincial
Fairfax,1984,Queensland,1004,Ruth Fairfax,Founder of the Country Women's Association,Ted O'Brien,Liberal National,Provincial
Farrer,1949,New South Wales,126590,William Farrer,Scientist,Sussan Ley,Liberal,Rural
Fenner,2016,"Australian Capital Territory
Jervis Bay Territory",238,Frank Fenner,Scientist,Andrew Leigh,Labor,Inner-metropolitan
Fisher,1949,Queensland,1198,Andrew Fisher,Prime Minister,Andrew Wallace,Liberal National,Provincial
Flinders,1901,Victoria,871,Matthew Flinders,Explorer,Zoe McKenzie,Liberal,Outer-metropolitan
Flynn,2006,Queensland,132824,John Flynn,Founder of the Royal Flying Doctor Service,Colin Boyce,Liberal National,Rural
Forde,1984,Queensland,418,Frank Forde,Prime Minister,Bert van Manen,Liberal National,Outer-metropolitan
Forrest,1922,Western Australia,11072,John Forrest,"Explorer, Premier of Western Australia",Nola Marino,Liberal,Rural
Fowler,1984,New South Wales,69,Lilian Fowler,Mayor of Newtown,Dai Le,Independent,Outer-metropolitan
Franklin,1903,Tasmania,10009,John Franklin,Explorer,Julie Collins,Labor,Outer-metropolitan
Fraser,2019,Victoria,106,Malcolm Fraser,Prime Minister,Daniel Mulino,Labor,Inner-metropolitan
Fremantle,1901,Western Australia,196,City of Fremantle,Geographic location,Josh Wilson,Labor,Inner-metropolitan
Gellibrand,1949,Victoria,124,Joseph Gellibrand,Attorney-General of Tasmania,Tim Watts,Labor,Inner-metropolitan
Gilmore,1984,New South Wales,6342,Mary Gilmore,"Poet, author",Fiona Phillips,Labor,Rural
Gippsland,1901,Victoria,33182,Region of Gippsland,Geographic location,Darren Chester,Nationals,Rural
Goldstein,1984,Victoria,50,Vida Goldstein,Suffragette,Zoe Daniel,Independent,Inner-metropolitan
Gorton,2004,Victoria,540,John Gorton,Prime Minister,Brendan O'Connor,Labor,Outer-metropolitan
Grayndler,1949,New South Wales,32,Edward Grayndler,"Politician, unionist",Anthony Albanese,Labor,Inner-metropolitan
Greenway,1984,New South Wales,81,Francis Greenway,Architect,Michelle Rowland,Labor,Outer-metropolitan
Grey,1903,South Australia,904881,George Grey,Governor of South Australia,Rowan Ramsey,Liberal,Rural
Griffith,1934,Queensland,57,Samuel Griffith,"Premier of Queensland, Chief Justice of Australia",Max Chandler-Mather,Greens,Inner-metropolitan
Groom,1984,Queensland,5586,Littleton Groom,Politician,Garth Hamilton,Liberal National,Provincial
Hasluck,2001,Western Australia,1192,Paul and Alexandra Hasluck,Governor-General and author,Tania Lawrence,Labor,Outer-metropolitan
Hawke,2022,Victoria,1842,Bob Hawke,Prime Minister,Sam Rae,Labor,Provincial
Herbert,1901,Queensland,946,Robert Herbert,Premier of Queensland,Phillip Thompson,Liberal National,Provincial
Higgins,1949,Victoria,41,H. B. Higgins,"Politician, judge",Michelle Ananda-Rajah,Labor,Inner-metropolitan
Hindmarsh,1903,South Australia,78,John Hindmarsh,Governor of South Australia,Mark Butler,Labor,Inner-metropolitan
Hinkler,1984,Queensland,3504,Bert Hinkler,Aviator,Keith Pitt,Liberal National,Provincial
Holt,1969,Victoria,266,Harold Holt,Prime Minister,Cassandra Fernando,Labor,Outer-metropolitan
Hotham,1969,Victoria,83,Charles Hotham,Governor of Victoria,Clare O'Neil,Labor,Outer-metropolitan
Hughes,1955,New South Wales,369,Billy Hughes,Prime Minister,Jenny Ware,Liberal,Outer-metropolitan
Hume,1901,New South Wales,17240,Hamilton Hume,Explorer,Angus Taylor,Liberal,Provincial
Hunter,1901,New South Wales,10640,John Hunter,Governor of New South Wales,Dan Repacholi,Labor,Rural
Indi,1901,Victoria,29187,Aboriginal name for the Murray River,Geographic location,Helen Haines,Independent,Rural
Isaacs,1969,Victoria,155,Isaac Isaacs,"Governor-General, Chief Justice of Australia",Mark Dreyfus,Labor,Outer-metropolitan
Jagajaga,1984,Victoria,104,Three Wurundjeri elders,Aboriginal elders,Kate Thwaites,Labor,Outer-metropolitan
Kennedy,1901,Queensland,567377,Edmund Kennedy,Explorer,Bob Katter,Katter's Australian,Rural
Kingsford Smith,1949,New South Wales,91,Charles Kingsford Smith,Aviator,Matt Thistlethwaite,Labor,Inner-metropolitan
Kingston,1949,South Australia,171,Charles Kingston,Premier of South Australia,Amanda Rishworth,Labor,Outer-metropolitan
Kooyong,1901,Victoria,55,Suburb of Kooyong,Geographic location,Monique Ryan,Independent,Inner-metropolitan
La Trobe,1949,Victoria,748,Charles La Trobe,Governor of Victoria,Jason Wood,Liberal,Provincial
Lalor,1949,Victoria,493,Peter Lalor,Leader of the Eureka Rebellion,Joanne Ryan,Labor,Outer-metropolitan
Leichhardt,1949,Queensland,109455,Ludwig Leichhardt,Explorer,Warren Entsch,Liberal National,Rural
Lilley,1913,Queensland,144,Charles Lilley,"Premier, Chief Justice of Queensland",Anika Wells,Labor,Inner-metropolitan
Lindsay,1984,New South Wales,339,Norman Lindsay,Artist,Melissa McIntosh,Liberal,Outer-metropolitan
Lingiari,2001,"Northern Territory
Christmas Island
Cocos (Keeling) Islands",1352371,Vincent Lingiari,Aboriginal activist,Marion Scrymgour,Labor,Remote
Longman,1996,Queensland,1237,Irene Longman,Politician,Terry Young,Liberal National,Provincial
Lyne,1949,New South Wales,16099,William Lyne,Premier of New South Wales,David Gillespie,Nationals,Rural
Lyons,1984,Tasmania,35721,Joseph and Enid Lyons,Prime Minister and politician,Brian Mitchell,Labor,Rural
Macarthur,1949,New South Wales,363,John and Elizabeth Macarthur,Pioneers of early settlement,Mike Freelander,Labor,Outer-metropolitan
Mackellar,1949,New South Wales,233,Charles and Dorothea Mackellar,Politician and poet,Sophie Scamps,Independent,Outer-metropolitan
Macnamara,2019,Victoria,41,Jean Macnamara,Scientist,Josh Burns,Labor,Inner-metropolitan
Macquarie,1901,New South Wales,4374,Lachlan Macquarie,Governor of New South Wales,Susan Templeman,Labor,Provincial
Makin,1984,South Australia,130,Norman Makin,Politician,Tony Zappia,Labor,Outer-metropolitan
Mallee,1949,Victoria,81962,Region of the Mallee,Geographic location,Anne Webster,Nationals,Rural
Maranoa,1901,Queensland,729897,Maranoa River,Geographic location,David Littleproud,Liberal National,Rural
Maribyrnong,1906,Victoria,64,Maribyrnong River,Geographic location,Bill Shorten,Labor,Inner-metropolitan
Mayo,1984,South Australia,9315,Helen Mayo,Doctor,Rebekha Sharkie,Centre Alliance,Rural
McEwen,1984,Victoria,2670,John McEwen,Prime Minister,Rob Mitchell,Labor,Rural
McMahon,2010,New South Wales,168,William McMahon,Prime Minister,Chris Bowen,Labor,Outer-metropolitan
McPherson,1949,Queensland,229,McPherson Range,Geographic location,Karen Andrews,Liberal National,Provincial
Melbourne,1901,Victoria,40,City of Melbourne,Geographic location,Adam Bandt,Greens,Inner-metropolitan
Menzies,1984,Victoria,184,Robert Menzies,Prime Minister,Keith Wolahan,Liberal,Outer-metropolitan
Mitchell,1949,New South Wales,101,Thomas Mitchell,Explorer,Alex Hawke,Liberal,Outer-metropolitan
Monash,2019,Victoria,8879,John Monash,"General, military commander",Russell Broadbent,Independent,Rural
Moncrieff,1984,Queensland,100,Gladys Moncrieff,Singer,Angie Bell,Liberal National,Provincial
Moore,1949,Western Australia,90,George Fletcher Moore,Early settler of Western Australia,Ian Goodenough,Liberal,Outer-metropolitan
Moreton,1901,Queensland,109,Moreton Bay,Geographic location,Graham Perrett,Labor,Inner-metropolitan
New England,1901,New South Wales,66394,Region of New England,Geographic location,Barnaby Joyce,Nationals,Rural
Newcastle,1901,New South Wales,171,City of Newcastle,Geographic location,Sharon Claydon,Labor,Provincial
Nicholls,2019,Victoria,14768,Douglas and Gladys Nicholls,Aboriginal activists,Sam Birrell,Nationals,Rural
North Sydney,1901,New South Wales,53,Suburb of North Sydney,Geographic location,Kylea Tink,Independent,Inner-metropolitan
O'Connor,1980,Western Australia,1126937,C. Y. O'Connor,Engineer,Rick Wilson,Liberal,Rural
Oxley,1949,Queensland,159,John Oxley,Explorer,Milton Dick,Labor,Outer-metropolitan
Page,1984,New South Wales,19342,Earle Page,Prime Minister,Kevin Hogan,Nationals,Rural
Parkes,1984,New South Wales,393413,Henry Parkes,Premier of New South Wales,Mark Coulton,Nationals,Rural
Parramatta,1901,New South Wales,57,Suburb of Parramatta,Geographic location,Andrew Charlton,Labor,Inner-metropolitan
Paterson,"1949, 1993",New South Wales,1123,Banjo Paterson,"Author, poet",Meryl Swanson,Labor,Provincial
Pearce,1989,Western Australia,13250,George Pearce,Politician,Tracey Roberts,Labor,Outer-metropolitan
Perth,1901,Western Australia,80,City of Perth,Geographic location,Patrick Gorman,Labor,Inner-metropolitan
Petrie,1949,Queensland,152,Andrew Petrie,Architect,Luke Howarth,Liberal National,Outer-metropolitan
Rankin,1984,Queensland,131,Annabelle Rankin,Politician,Jim Chalmers,Labor,Outer-metropolitan
Reid,1922,New South Wales,55,George Reid,Prime Minister,Sally Sitou,Labor,Inner-metropolitan
Richmond,1901,New South Wales,2148,Richmond River,Geographic location,Justine Elliot,Labor,Rural
Riverina,"1901, 1993",New South Wales,48988,Region of the Riverina,Geographic location,Michael McCormack,Nationals,Rural
Robertson,1901,New South Wales,980,John Robertson,Premier of New South Wales,Gordon Reid,Labor,Provincial
Ryan,1949,Queensland,370,T. J. Ryan,Premier of Queensland,Elizabeth Watson-Brown,Greens,Inner-metropolitan
Scullin,1968,Victoria,116,James Scullin,Prime Minister,Andrew Giles,Labor,Outer-metropolitan
Shortland,1949,New South Wales,265,John Shortland,Explorer,Pat Conroy,Labor,Provincial
Solomon,2000,Northern Territory,337,Vaiben Louis Solomon,Premier of South Australia,Luke Gosling,Labor,Inner-metropolitan
Spence,2019,South Australia,532,Catherine Helen Spence,"Politician, author",Matt Burnell,Labor,Outer-metropolitan
Sturt,1949,South Australia,85,Charles Sturt,Explorer,James Stevens,Liberal,Inner-metropolitan
Swan,1901,Western Australia,134,Swan River,Geographic location,Zaneta Mascarenhas,Labor,Inner-metropolitan
Sydney,1968,New South Wales,44,City of Sydney,Geographic location,Tanya Plibersek,Labor,Inner-metropolitan
Tangney,1974,Western Australia,83,Dorothy Tangney,Politician,Sam Lim,Labor,Inner-metropolitan
Wannon,1901,Victoria,33419,Wannon River,Geographic location,Dan Tehan,Liberal,Rural
Warringah,1922,New South Wales,68,Warringah Council,Geographic location,Zali Steggall,Independent,Inner-metropolitan
Watson,1992,New South Wales,47,Chris Watson,Prime Minister,Tony Burke,Labor,Inner-metropolitan
Wentworth,1901,New South Wales,38,William Wentworth,Explorer,Allegra Spender,Independent,Inner-metropolitan
Werriwa,1901,New South Wales,172,Aboriginal name for Lake George,Geographic location,Anne Stanley,Labor,Outer-metropolitan
Whitlam,2016,New South Wales,1331,Gough Whitlam,Prime Minister,Stephen Jones,Labor,Provincial
Wide Bay,1901,Queensland,14227,Region of Wide Bayâ€“Burnett,Geographic location,Llew O'Brien,Liberal National,Rural
Wills,1949,Victoria,46,William John Wills,Explorer,Peter Khalil,Labor,Inner-metropolitan
Wright,2009,Queensland,7577,Judith Wright,"Poet, environmentalist",Scott Buchholz,Liberal National,Rural
